% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
26.4 0 56 92.95 0
26.4 1 56.03 93 0
26.4 2 55.98 92.9 0
26.4 3 56.05 93.05 0
26.4 4 55.95 92.85 0
26.4 5 56 100.95 0
26.4 6 56.03 101 0
26.4 7 55.98 100.9 0
26.4 8 56.05 101.05 0
26.4 9 55.95 100.85 0
27.6 0 56 92.95 0
27.6 1 56.03 93 0
27.6 2 55.98 92.9 0
27.6 3 56.05 93.05 0
27.6 4 55.95 92.85 0
27.6 5 56 100.95 0
27.6 6 56.03 101 0
27.6 7 55.98 100.9 0
27.6 8 56.05 101.05 0
27.6 9 55.95 100.85 0
28.8 0 56 92.95 0
28.8 1 56.03 93 0
28.8 2 55.98 92.9 0
28.8 3 56.05 93.05 0
28.8 4 55.95 92.85 0
28.8 5 56 100.95 0
28.8 6 56.03 101 0
28.8 7 55.98 100.9 0
28.8 8 56.05 101.05 0
28.8 9 55.95 100.85 0
30 0 56 92.95 0
30 1 56.03 93 0
30 2 55.98 92.9 0
30 3 56.05 93.05 0
30 4 55.95 92.85 0
30 5 56 100.95 0
30 6 56.03 101 0
30 7 55.98 100.9 0
30 8 56.05 101.05 0
30 9 55.95 100.85 0
31.2 0 56 92.95 0
31.2 1 56.03 93 0
31.2 2 55.98 92.9 0
31.2 3 56.05 93.05 0
31.2 4 55.95 92.85 0
31.2 5 56 100.95 0
31.2 6 56.03 101 0
31.2 7 55.98 100.9 0
31.2 8 56.05 101.05 0
31.2 9 55.95 100.85 0
32.4 0 56 92.95 0
32.4 1 56.03 93 0
32.4 2 55.98 92.9 0
32.4 3 56.05 93.05 0
32.4 4 55.95 92.85 0
32.4 5 56 100.95 0
32.4 6 56.03 101 0
32.4 7 55.98 100.9 0
32.4 8 56.05 101.05 0
32.4 9 55.95 100.85 0
33.6 0 56 92.95 0
33.6 1 56.03 93 0
33.6 2 55.98 92.9 0
33.6 3 56.05 93.05 0
33.6 4 55.95 92.85 0
33.6 5 56 100.95 0
33.6 6 56.03 101 0
33.6 7 55.98 100.9 0
33.6 8 56.05 101.05 0
33.6 9 55.95 100.85 0
34.8 0 56 92.95 0
34.8 1 56.03 93 0
34.8 2 55.98 92.9 0
34.8 3 56.05 93.05 0
34.8 4 55.95 92.85 0
34.8 5 56 100.95 0
34.8 6 56.03 101 0
34.8 7 55.98 100.9 0
34.8 8 56.05 101.05 0
34.8 9 55.95 100.85 0
36 0 56 92.95 0
36 1 56.03 93 0
36 2 55.98 92.9 0
36 3 56.05 93.05 0
36 4 55.95 92.85 0
36 5 56 100.95 0
36 6 56.03 101 0
36 7 55.98 100.9 0
36 8 56.05 101.05 0
36 9 55.95 100.85 0
37.2 0 56 92.95 0
37.2 1 56.03 93 0
37.2 2 55.98 92.9 0
37.2 3 56.05 93.05 0
37.2 4 55.95 92.85 0
37.2 5 56 100.95 0
37.2 6 56.03 101 0
37.2 7 55.98 100.9 0
37.2 8 56.05 101.05 0
37.2 9 55.95 100.85 0
38.4 0 56 92.95 0
38.4 1 56.03 93 0
38.4 2 55.98 92.9 0
38.4 3 56.05 93.05 0
38.4 4 55.95 92.85 0
38.4 5 56 100.95 0
38.4 6 56.03 101 0
38.4 7 55.98 100.9 0
38.4 8 56.05 101.05 0
38.4 9 55.95 100.85 0
39.6 0 56 92.95 0
39.6 1 56.03 93 0
39.6 2 55.98 92.9 0
39.6 3 56.05 93.05 0
39.6 4 55.95 92.85 0
39.6 5 56 100.95 0
39.6 6 56.03 101 0
39.6 7 55.98 100.9 0
39.6 8 56.05 101.05 0
39.6 9 55.95 100.85 0
40.8 0 56 92.95 0
40.8 1 56.03 93 0
40.8 2 55.98 92.9 0
40.8 3 56.05 93.05 0
40.8 4 55.95 92.85 0
40.8 5 56 100.95 0
40.8 6 56.03 101 0
40.8 7 55.98 100.9 0
40.8 8 56.05 101.05 0
40.8 9 55.95 100.85 0
42 0 56 92.95 0
42 1 56.03 93 0
42 2 55.98 92.9 0
42 3 56.05 93.05 0
42 4 55.95 92.85 0
42 5 56 100.95 0
42 6 56.03 101 0
42 7 55.98 100.9 0
42 8 56.05 101.05 0
42 9 55.95 100.85 0
43.2 0 56 92.95 0
43.2 1 56.03 93 0
43.2 2 55.98 92.9 0
43.2 3 56.05 93.05 0
43.2 4 55.95 92.85 0
43.2 5 56 100.95 0
43.2 6 56.03 101 0
43.2 7 55.98 100.9 0
43.2 8 56.05 101.05 0
43.2 9 55.95 100.85 0
44.4 0 56 92.95 0
44.4 1 56.03 93 0
44.4 2 55.98 92.9 0
44.4 3 56.05 93.05 0
44.4 4 55.95 92.85 0
44.4 5 56 100.95 0
44.4 6 56.03 101 0
44.4 7 55.98 100.9 0
44.4 8 56.05 101.05 0
44.4 9 55.95 100.85 0
45.6 0 56 92.95 0
45.6 1 56.03 93 0
45.6 2 55.98 92.9 0
45.6 3 56.05 93.05 0
45.6 4 55.95 92.85 0
45.6 5 56 100.95 0
45.6 6 56.03 101 0
45.6 7 55.98 100.9 0
45.6 8 56.05 101.05 0
45.6 9 55.95 100.85 0
46.8 0 56 92.95 0
46.8 1 56.03 93 0
46.8 2 55.98 92.9 0
46.8 3 56.05 93.05 0
46.8 4 55.95 92.85 0
46.8 5 56 100.95 0
46.8 6 56.03 101 0
46.8 7 55.98 100.9 0
46.8 8 56.05 101.05 0
46.8 9 55.95 100.85 0
48 0 56 92.95 0
48 1 56.03 93 0
48 2 55.98 92.9 0
48 3 56.05 93.05 0
48 4 55.95 92.85 0
48 5 56 100.95 0
48 6 56.03 101 0
48 7 55.98 100.9 0
48 8 56.05 101.05 0
48 9 55.95 100.85 0
49.2 0 56 92.95 0
49.2 1 56.03 93 0
49.2 2 55.98 92.9 0
49.2 3 56.05 93.05 0
49.2 4 55.95 92.85 0
49.2 5 56 100.95 0
49.2 6 56.03 101 0
49.2 7 55.98 100.9 0
49.2 8 56.05 101.05 0
49.2 9 55.95 100.85 0
50.4 0 56 92.95 0
50.4 1 56.03 93 0
50.4 2 55.98 92.9 0
50.4 3 56.05 93.05 0
50.4 4 55.95 92.85 0
50.4 5 56 100.95 0
50.4 6 56.03 101 0
50.4 7 55.98 100.9 0
50.4 8 56.05 101.05 0
50.4 9 55.95 100.85 0
51.6 0 56 92.95 0
51.6 1 56.03 93 0
51.6 2 55.98 92.9 0
51.6 3 56.05 93.05 0
51.6 4 55.95 92.85 0
51.6 5 56 100.95 0
51.6 6 56.03 101 0
51.6 7 55.98 100.9 0
51.6 8 56.05 101.05 0
51.6 9 55.95 100.85 0
52.8 0 56 92.95 0
52.8 1 56.03 93 0
52.8 2 55.98 92.9 0
52.8 3 56.05 93.05 0
52.8 4 55.95 92.85 0
52.8 5 56 100.95 0
52.8 6 56.03 101 0
52.8 7 55.98 100.9 0
52.8 8 56.05 101.05 0
52.8 9 55.95 100.85 0
54 0 56 92.95 0
54 1 56.03 93 0
54 2 55.98 92.9 0
54 3 56.05 93.05 0
54 4 55.95 92.85 0
54 5 56 100.95 0
54 6 56.03 101 0
54 7 55.98 100.9 0
54 8 56.05 101.05 0
54 9 55.95 100.85 0
55.2 0 56 92.95 0
55.2 1 56.03 93 0
55.2 2 55.98 92.9 0
55.2 3 56.05 93.05 0
55.2 4 55.95 92.85 0
55.2 5 56 100.95 0
55.2 6 56.03 101 0
55.2 7 55.98 100.9 0
55.2 8 56.05 101.05 0
55.2 9 55.95 100.85 0
56.4 0 56 92.95 0
56.4 1 56.03 93 0
56.4 2 55.98 92.9 0
56.4 3 56.05 93.05 0
56.4 4 55.95 92.85 0
56.4 5 56 100.95 0
56.4 6 56.03 101 0
56.4 7 55.98 100.9 0
56.4 8 56.05 101.05 0
56.4 9 55.95 100.85 0
57.6 0 56 92.95 0
57.6 1 56.03 93 0
57.6 2 55.98 92.9 0
57.6 3 56.05 93.05 0
57.6 4 55.95 92.85 0
57.6 5 56 100.95 0
57.6 6 56.03 101 0
57.6 7 55.98 100.9 0
57.6 8 56.05 101.05 0
57.6 9 55.95 100.85 0
58.8 0 56 92.95 0
58.8 1 56.03 93 0
58.8 2 55.98 92.9 0
58.8 3 56.05 93.05 0
58.8 4 55.95 92.85 0
58.8 5 56 100.95 0
58.8 6 56.03 101 0
58.8 7 55.98 100.9 0
58.8 8 56.05 101.05 0
58.8 9 55.95 100.85 0
60 0 56 92.95 0
60 1 56.03 93 0
60 2 55.98 92.9 0
60 3 56.05 93.05 0
60 4 55.95 92.85 0
60 5 56 100.95 0
60 6 56.03 101 0
60 7 55.98 100.9 0
60 8 56.05 101.05 0
60 9 55.95 100.85 0
61.2 0 56 92.95 0
61.2 1 56.03 93 0
61.2 2 55.98 92.9 0
61.2 3 56.05 93.05 0
61.2 4 55.95 92.85 0
61.2 5 56 100.95 0
61.2 6 56.03 101 0
61.2 7 55.98 100.9 0
61.2 8 56.05 101.05 0
61.2 9 55.95 100.85 0
62.4 0 56 92.95 0
62.4 1 56.03 93 0
62.4 2 55.98 92.9 0
62.4 3 56.05 93.05 0
62.4 4 55.95 92.85 0
62.4 5 56 100.95 0
62.4 6 56.03 101 0
62.4 7 55.98 100.9 0
62.4 8 56.05 101.05 0
62.4 9 55.95 100.85 0
63.6 0 56 92.95 0
63.6 1 56.03 93 0
63.6 2 55.98 92.9 0
63.6 3 56.05 93.05 0
63.6 4 55.95 92.85 0
63.6 5 56 100.95 0
63.6 6 56.03 101 0
63.6 7 55.98 100.9 0
63.6 8 56.05 101.05 0
63.6 9 55.95 100.85 0
64.8 0 56 92.95 0
64.8 1 56.03 93 0
64.8 2 55.98 92.9 0
64.8 3 56.05 93.05 0
64.8 4 55.95 92.85 0
64.8 5 56 100.95 0
64.8 6 56.03 101 0
64.8 7 55.98 100.9 0
64.8 8 56.05 101.05 0
64.8 9 55.95 100.85 0
66 0 56 92.95 0
66 1 56.03 93 0
66 2 55.98 92.9 0
66 3 56.05 93.05 0
66 4 55.95 92.85 0
66 5 56 100.95 0
66 6 56.03 101 0
66 7 55.98 100.9 0
66 8 56.05 101.05 0
66 9 55.95 100.85 0
67.2 0 56 92.95 0
67.2 1 56.03 93 0
67.2 2 55.98 92.9 0
67.2 3 56.05 93.05 0
67.2 4 55.95 92.85 0
67.2 5 56 100.95 0
67.2 6 56.03 101 0
67.2 7 55.98 100.9 0
67.2 8 56.05 101.05 0
67.2 9 55.95 100.85 0
68.4 0 56 92.95 0
68.4 1 56.03 93 0
68.4 2 55.98 92.9 0
68.4 3 56.05 93.05 0
68.4 4 55.95 92.85 0
68.4 5 56 100.95 0
68.4 6 56.03 101 0
68.4 7 55.98 100.9 0
68.4 8 56.05 101.05 0
68.4 9 55.95 100.85 0
69.6 0 56 92.95 0
