% output_type: 'OUTPUT_TYPE_TABLE'
% source: 'sat-handover-hap'
% count: 322
% node_id role dev_id device_type ip_address
5 GW 44 ns3::SatNetDevice 40.116.0.1
5 GW 45 ns3::SatNetDevice 40.117.0.1
5 GW 46 ns3::SatNetDevice 40.118.0.1
5 GW 47 ns3::SatNetDevice 40.119.0.1
5 GW 48 ns3::SatNetDevice 40.120.0.1
5 GW 49 ns3::SatNetDevice 40.121.0.1
5 GW 50 ns3::SatNetDevice 40.122.0.1
5 GW 51 ns3::SatNetDevice 40.123.0.1
5 GW 52 ns3::SatNetDevice 40.124.0.1
5 GW 53 ns3::SatNetDevice 40.125.0.1
5 GW 54 ns3::SatNetDevice 40.126.0.1
5 GW 55 ns3::SatNetDevice 40.127.0.1
5 GW 56 ns3::SatNetDevice 40.128.0.1
5 GW 57 ns3::SatNetDevice 40.129.0.1
5 GW 58 ns3::SatNetDevice 40.130.0.1
5 GW 59 ns3::SatNetDevice 40.131.0.1
5 GW 60 ns3::SatNetDevice 40.132.0.1
5 GW 61 ns3::SatNetDevice 40.133.0.1
5 GW 62 ns3::SatNetDevice 40.134.0.1
5 GW 63 ns3::SatNetDevice 40.135.0.1
5 GW 64 ns3::SatNetDevice 40.136.0.1
5 GW 65 ns3::SatNetDevice 40.137.0.1
5 GW 66 ns3::SatNetDevice 40.138.0.1
5 GW 67 ns3::SatNetDevice 40.139.0.1
5 GW 68 ns3::SatNetDevice 40.140.0.1
5 GW 69 ns3::SatNetDevice 40.141.0.1
5 GW 70 ns3::SatNetDevice 40.142.0.1
5 GW 71 ns3::SatNetDevice 40.143.0.1
5 GW 72 ns3::SatNetDevice 40.144.0.1
5 GW 73 ns3::SatSimpleNetDevice 90.2.0.1
6 GW 1 ns3::SatNetDevice 40.145.0.1
6 GW 2 ns3::SatNetDevice 40.146.0.1
6 GW 3 ns3::SatNetDevice 40.147.0.1
6 GW 4 ns3::SatNetDevice 40.148.0.1
6 GW 5 ns3::SatNetDevice 40.149.0.1
6 GW 6 ns3::SatNetDevice 40.150.0.1
6 GW 7 ns3::SatNetDevice 40.151.0.1
6 GW 8 ns3::SatNetDevice 40.152.0.1
6 GW 9 ns3::SatNetDevice 40.153.0.1
6 GW 10 ns3::SatNetDevice 40.154.0.1
6 GW 11 ns3::SatNetDevice 40.155.0.1
6 GW 12 ns3::SatNetDevice 40.156.0.1
6 GW 13 ns3::SatNetDevice 40.157.0.1
6 GW 14 ns3::SatNetDevice 40.158.0.1
6 GW 15 ns3::SatNetDevice 40.159.0.1
6 GW 16 ns3::SatNetDevice 40.160.0.1
6 GW 17 ns3::SatNetDevice 40.161.0.1
6 GW 18 ns3::SatNetDevice 40.162.0.1
6 GW 19 ns3::SatNetDevice 40.163.0.1
6 GW 20 ns3::SatNetDevice 40.164.0.1
6 GW 21 ns3::SatNetDevice 40.165.0.1
6 GW 22 ns3::SatNetDevice 40.166.0.1
6 GW 23 ns3::SatNetDevice 40.167.0.1
6 GW 24 ns3::SatNetDevice 40.168.0.1
6 GW 25 ns3::SatNetDevice 40.169.0.1
6 GW 26 ns3::SatNetDevice 40.170.0.1
6 GW 27 ns3::SatNetDevice 40.171.0.1
6 GW 28 ns3::SatNetDevice 40.172.0.1
6 GW 29 ns3::SatNetDevice 40.173.0.1
6 GW 30 ns3::SatNetDevice 40.174.0.1
6 GW 31 ns3::SatNetDevice 40.175.0.1
6 GW 32 ns3::SatNetDevice 40.176.0.1
6 GW 33 ns3::SatNetDevice 40.177.0.1
6 GW 34 ns3::SatNetDevice 40.178.0.1
6 GW 35 ns3::SatNetDevice 40.179.0.1
6 GW 36 ns3::SatNetDevice 40.180.0.1
6 GW 37 ns3::SatNetDevice 40.181.0.1
6 GW 38 ns3::SatNetDevice 40.182.0.1
6 GW 39 ns3::SatNetDevice 40.183.0.1
6 GW 40 ns3::SatNetDevice 40.184.0.1
6 GW 41 ns3::SatNetDevice 40.185.0.1
6 GW 42 ns3::SatNetDevice 40.186.0.1
6 GW 43 ns3::SatNetDevice 40.187.0.1
6 GW 44 ns3::SatNetDevice 40.188.0.1
6 GW 45 ns3::SatNetDevice 40.189.0.1
6 GW 46 ns3::SatNetDevice 40.190.0.1
6 GW 47 ns3::SatNetDevice 40.191.0.1
6 GW 48 ns3::SatNetDevice 40.192.0.1
6 GW 49 ns3::SatNetDevice 40.193.0.1
6 GW 50 ns3::SatNetDevice 40.194.0.1
6 GW 51 ns3::SatNetDevice 40.195.0.1
6 GW 52 ns3::SatNetDevice 40.196.0.1
6 GW 53 ns3::SatNetDevice 40.197.0.1
6 GW 54 ns3::SatNetDevice 40.198.0.1
6 GW 55 ns3::SatNetDevice 40.199.0.1
6 GW 56 ns3::SatNetDevice 40.200.0.1
6 GW 57 ns3::SatNetDevice 40.201.0.1
6 GW 58 ns3::SatNetDevice 40.202.0.1
6 GW 59 ns3::SatNetDevice 40.203.0.1
6 GW 60 ns3::SatNetDevice 40.204.0.1
6 GW 61 ns3::SatNetDevice 40.205.0.1
6 GW 62 ns3::SatNetDevice 40.206.0.1
6 GW 63 ns3::SatNetDevice 40.207.0.1
6 GW 64 ns3::SatNetDevice 40.208.0.1
6 GW 65 ns3::SatNetDevice 40.209.0.1
6 GW 66 ns3::SatNetDevice 40.210.0.1
6 GW 67 ns3::SatNetDevice 40.211.0.1
6 GW 68 ns3::SatNetDevice 40.212.0.1
6 GW 69 ns3::SatNetDevice 40.213.0.1
6 GW 70 ns3::SatNetDevice 40.214.0.1
6 GW 71 ns3::SatNetDevice 40.215.0.1
6 GW 72 ns3::SatNetDevice 40.216.0.1
6 GW 73 ns3::SatSimpleNetDevice 90.3.0.1
7 GW 1 ns3::SatNetDevice 40.217.0.1
7 GW 2 ns3::SatNetDevice 40.218.0.1
7 GW 3 ns3::SatNetDevice 40.219.0.1
7 GW 4 ns3::SatNetDevice 40.220.0.1
7 GW 5 ns3::SatNetDevice 40.221.0.1
7 GW 6 ns3::SatNetDevice 40.222.0.1
7 GW 7 ns3::SatNetDevice 40.223.0.1
7 GW 8 ns3::SatNetDevice 40.224.0.1
7 GW 9 ns3::SatNetDevice 40.225.0.1
7 GW 10 ns3::SatNetDevice 40.226.0.1
7 GW 11 ns3::SatNetDevice 40.227.0.1
