# time lat lon alt
132.000 56.023719945 92.965587056 20000.000
133.000 56.023807693 92.965551818 20000.000
134.000 56.023895408 92.965516318 20000.000
135.000 56.023983090 92.965480556 20000.000
136.000 56.024070738 92.965444534 20000.000
137.000 56.024158353 92.965408250 20000.000
138.000 56.024245934 92.965371704 20000.000
139.000 56.024333480 92.965334898 20000.000
140.000 56.024420993 92.965297831 20000.000
141.000 56.024508470 92.965260503 20000.000
142.000 56.024595913 92.965222914 20000.000
143.000 56.024683321 92.965185064 20000.000
144.000 56.024770693 92.965146954 20000.000
145.000 56.024858029 92.965108584 20000.000
146.000 56.024945330 92.965069953 20000.000
147.000 56.025032595 92.965031062 20000.000
148.000 56.025119823 92.964991911 20000.000
149.000 56.025207014 92.964952500 20000.000
150.000 56.025294169 92.964912829 20000.000
151.000 56.025381287 92.964872898 20000.000
152.000 56.025468367 92.964832707 20000.000
153.000 56.025555410 92.964792257 20000.000
154.000 56.025642415 92.964751548 20000.000
155.000 56.025729382 92.964710579 20000.000
156.000 56.025816310 92.964669351 20000.000
157.000 56.025903201 92.964627864 20000.000
158.000 56.025990052 92.964586117 20000.000
159.000 56.026076864 92.964544112 20000.000
160.000 56.026163637 92.964501848 20000.000
161.000 56.026250371 92.964459326 20000.000
162.000 56.026337065 92.964416545 20000.000
163.000 56.026423719 92.964373505 20000.000
164.000 56.026510332 92.964330208 20000.000
165.000 56.026596905 92.964286652 20000.000
166.000 56.026683438 92.964242838 20000.000
167.000 56.026769929 92.964198766 20000.000
168.000 56.026856380 92.964154436 20000.000
169.000 56.026942789 92.964109849 20000.000
170.000 56.027029156 92.964065004 20000.000
171.000 56.027115481 92.964019901 20000.000
172.000 56.027201764 92.963974542 20000.000
173.000 56.027288005 92.963928925 20000.000
174.000 56.027374203 92.963883051 20000.000
175.000 56.027460359 92.963836920 20000.000
176.000 56.027546471 92.963790532 20000.000
177.000 56.027632540 92.963743888 20000.000
178.000 56.027718565 92.963696987 20000.000
179.000 56.027804547 92.963649830 20000.000
180.000 56.027890484 92.963602417 20000.000
181.000 56.027976377 92.963554747 20000.000
182.000 56.028062226 92.963506821 20000.000
183.000 56.028148030 92.963458639 20000.000
184.000 56.028233789 92.963410202 20000.000
185.000 56.028319502 92.963361509 20000.000
186.000 56.028405171 92.963312561 20000.000
187.000 56.028490793 92.963263357 20000.000
188.000 56.028576369 92.963213898 20000.000
189.000 56.028661900 92.963164184 20000.000
190.000 56.028747383 92.963114215 20000.000
191.000 56.028832820 92.963063991 20000.000
192.000 56.028918211 92.963013513 20000.000
193.000 56.029003554 92.962962780 20000.000
194.000 56.029088849 92.962911792 20000.000
195.000 56.029174097 92.962860551 20000.000
196.000 56.029259298 92.962809055 20000.000
197.000 56.029344450 92.962757306 20000.000
198.000 56.029429554 92.962705302 20000.000
199.000 56.029514609 92.962653045 20000.000
200.000 56.029599615 92.962600535 20000.000
201.000 56.029684572 92.962547771 20000.000
202.000 56.029769480 92.962494754 20000.000
203.000 56.029854339 92.962441483 20000.000
204.000 56.029939148 92.962387960 20000.000
205.000 56.030023907 92.962334184 20000.000
206.000 56.030108615 92.962280156 20000.000
207.000 56.030193273 92.962225875 20000.000
208.000 56.030277881 92.962171342 20000.000
209.000 56.030362437 92.962116556 20000.000
210.000 56.030446943 92.962061518 20000.000
211.000 56.030531397 92.962006229 20000.000
212.000 56.030615799 92.961950688 20000.000
213.000 56.030700149 92.961894895 20000.000
214.000 56.030784448 92.961838851 20000.000
215.000 56.030868694 92.961782556 20000.000
216.000 56.030952887 92.961726009 20000.000
217.000 56.031037028 92.961669212 20000.000
218.000 56.031121116 92.961612164 20000.000
219.000 56.031205150 92.961554865 20000.000
220.000 56.031289131 92.961497316 20000.000
221.000 56.031373058 92.961439516 20000.000
222.000 56.031456931 92.961381467 20000.000
223.000 56.031540750 92.961323167 20000.000
224.000 56.031624515 92.961264618 20000.000
225.000 56.031708224 92.961205819 20000.000
226.000 56.031791879 92.961146770 20000.000
227.000 56.031875479 92.961087472 20000.000
228.000 56.031959024 92.961027925 20000.000
229.000 56.032042513 92.960968129 20000.000
230.000 56.032125946 92.960908084 20000.000
231.000 56.032209323 92.960847790 20000.000
232.000 56.032292643 92.960787248 20000.000
233.000 56.032375907 92.960726458 20000.000
234.000 56.032459115 92.960665419 20000.000
235.000 56.032542265 92.960604133 20000.000
